title,company,location,category,jobtype,salary,jd,avgsalary,mainloc,mainlocation
Devops Engineer,Ambition Group Malaysia Sdn Bhd,KUALA LUMPUR,Engineering - Software (Information & Communication Technology),Full time,1000000-1500000,"Responsibilities:You'll be setting up and maintaining DevOps tools and delivery pipelines.Conduct troubleshoot server and tool issues.Come up with ways to improve development pipeline using automation.Support and design CICD pipeline for containerized applicationInstall, integrate, configure. Patch and upgrade CI/CD toolset.Drive and coach Agile and Devops practice for domains on application development.Requirements:Has 6 or more years of experience in DevOps or release management.Solid technical background, has hands on experience in establishing DevOps pipeline, Bitbucket, Jenkins, Artifactory, Veracode, SonarquibeStrong experience in powershell, Groovy, unix/linux scripting and SQLExperience in SQL and relational databases-SQL Server, Oracle DB, Unix/Linux and JavaHow to Apply:To apply, please click ""APPLY NOW"" or email Sheryl Oon at Sheryl.Oon@ambition.com.my. Data provided is for recruitment purposes only *LI-ITDue to the volume of applications received, we regret to inform you that only shortlisted candidates will be notified.JTK Number: JTKSM 995 | Company Registration Number: 201301019088 (1048918-T) If this job isn't quite right for you, but you know someone who would be great at this role, why not take advantage of our referral scheme? We offer MYR500 in shopping vouchers for every referred candidate who we place in a role. Terms & Conditions Apply. https://www.ambition.com.my/refer-a-friend",1250000,KUALA LUMPUR,KUALA LUMPUR
Cybersecurity Engineer (Zero-Trust),Kenanga Investment Bank Berhad,KUALA LUMPUR,Security (Information & Communication Technology),Full time,,"JOB SUMMARYWe are looking for a Zero Trust Engineer to join our security team and help us design, implement, and maintain a zero-trust framework for our organization. You will be responsible for developing and enforcing policies, procedures, and best practices to ensure the security of our data and assets across all environments and platforms.  JOB RESPONSIBILITIESDesign and implement a zero-trust framework that aligns with our business objectives and security requirements.Monitor and audit the effectiveness and compliance of the zero-trust framework and identify and remediate any gaps or issues.Research and evaluate new zero-trust technologies and solutions and recommend improvements or enhancements to the existing framework.Provide technical support and troubleshooting for zero-trust related incidents and requests.Ensure security controls are effective and optimally configured.Play a pivotal role in security related project implementation.Maintain awareness of emerging cyber threatsManage SLAs of security vendors and partners JOB REQUIREMENT Bachelor’s degree in computer science, engineering, or a related field, or equivalent work experience.At least 5 years of experience in security engineering, architecture, or operations, with a focus on zero trust, identity and access management, network security, or cloud security.Proficiency in one or more scripting or programming languages, such as Python, PowerShell, Java, or C#.Experience with zero trust technologies and tools, such as Azure Active Directory, Microsoft Endpoint Manager, Microsoft Defender for Endpoint, Microsoft Cloud App Security, Azure Sentinel, or similar solutions.Knowledge of security standards and frameworks, such as NIST SP 800-207, ISO 27001, or CIS Controls.Excellent communication, collaboration, and problem-solving skills.Passionate in cyber security. ",0,KUALA LUMPUR,KUALA LUMPUR
Technical Delivery Manager (Java),Ambition Group Malaysia Sdn Bhd,KUALA LUMPUR,Engineering - Software (Information & Communication Technology),Full time,150000-200000,"Responsibilities: You will be involved extensively and responsible for the end to end software development lifecycle and support for all work.Proficiency in both traditional development methodologies (waterfall) and Agile delivery methods.Ability to manage squad members, with different levels of expertise and different background within an Agile context.Requirements:The ideal candidate should have extensive experience in implementing and operating large-scale and complex mission-critical solutions:Good understanding on all architecture layers.Strong record of deliveries in Java projects.Have managed a team.Has experience in banking or financial services industryHow to Apply: To apply, please click ""APPLY NOW"" or email Sheryl Oon at Sheryl.Oon@ambition.com.my. Data provided is for recruitment purposes only *LI-ITDue to the volume of applications received, we regret to inform you that only shortlisted candidates will be notified.JTK Number: JTKSM 995 | Company Registration Number: 201301019088 (1048918-T) If this job isn't quite right for you, but you know someone who would be great at this role, why not take advantage of our referral scheme? We offer MYR500 in shopping vouchers for every referred candidate who we place in a role. Terms & Conditions Apply. https://www.ambition.com.my/refer-a-friend",175000,KUALA LUMPUR,KUALA LUMPUR
Senior Endpoint Cybersecurity Engineer,Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,KUALA LUMPUR,Security (Information & Communication Technology),Full time,ATTRACTIVE,"Cybersecurity Operations EngineerYour new company  Work for one of Malaysia's leading banking institutions. Your new role  Support and troubleshoot existing Security Endpoint Products such as Anti-virus, Virtual Patching, Privilege Identity Management, Hardening, DLP Endpoint, Email & Web Protection.Provide day-to-day operation support for any Security Endpoint solution request/ incident/ hands-on/ enhancement.Identify, protect, detect, response, and recovery for any threat detected across the Security Endpoint solution.What you'll need to succeed  Bachelor Degree in Computer Science majoring in Security or Relevant Computer Systems field.5+ years of relevant experience in Cybersecurity.Experience implementing and maintaining Cybersecurity Endpoint solutions.What you'll get in return  Attractive remuneration package.Excellent career growth opportunities.Hybrid working environment.What you need to do now  If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now. If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion about your career. ",0,KUALA LUMPUR,KUALA LUMPUR
Senior Mobile Engineer (React Native),Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,SELANGOR,Developers/Programmers (Information & Communication Technology),Full time,8000-12000,"Ignite your career - React Native Developer opportunity available! Your new company  This organisation is a market-leader in the Healthcare industry, spearheading digital transformation in healthcare technology!  Your new roleSeeking a proactive individual looking to implement key ideas to revolutionise healthcare technology.If you are ready to make a significant impact in the world of digital healthcare, this will be the platform for you to drive your future to greater heights.What you'll need to succeedAt least 3 years of experience in React Native development.Familiarity with TypeScript and Native mobile development.UI/UX sensibility in creating responsive layouts.What you'll get in returnEmphasis on career growth opportunities within a dynamic company culture with involvement across various team functions.Be part of a high-performance organisation with footprints across numerous industries.Attractive remuneration package and benefits!What you need to do now  If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now. If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion on your career. ",10000,SELANGOR,SELANGOR
[Expression of Interest] Solution Consultant,Experian (Malaysia) Sdn Bhd,"CYBERJAYA, SELANGOR",Consultants (Information & Communication Technology),Full time,,"The role sits within our Decision Analytics business, one of our four Global Business Lines.Experian Decision Analytics helps client achieve and sustain significant growth. We do this by enabling clients to make analytics-based customer decisions that support their strategic goals. As experts in uniting business understanding with consumer and business information, analytics and strategy execution, we empower clients to optimise customer value and actively manage it over time. This role therefore has clear accountability for creating measurable value within our client organisations. Role Summary: Experian Decision Analytics helps clients achieve sustain significant growth.The Solution Consultant offers complete design authority (business and technical) for solutions in the region, recommends design approaches and methodology. Acts as a point of escalation regardless of project or project stage and works to achieve resolutions. Supports the management team during escalations and provides clear direction and communication to project and/or Sales Teams to allow a managed outcome. Operates with a regional view over multiple delivery projects, having a solid understanding of project economics, risk and governance. Rapidly articulates complex project & operational scenarios to the management team with recommendations.In the Centre of Excellence (CoE) Organisation within Experian, we implement lasting business change for our clients to help them realise opportunities and growth. Solution Design AuthorityActs independently to projects with authority to approve or deny a solution design.Provides reasons for the decision with accompanying recommendations and may work with the team to achieve a desired and approved solution design.Acts to ensure compliance to solution design throughout the sales & delivery lifecycle, taking into account regional operational, economic & client dependencies.Provides executive solution summaries calling out key business benefits to support a client’s business case  Ensure all work is of a high quality and professionally presentedPre Sales Support and Product KnowledgeArticulates proposals to both client and Experian C-Level stakeholders, has authority to represent APAC delivery during BID and Opportunity ReviewsBy request support Sales Consultants/BDMs, providing complex Product/Solution based presentations and Solution Expertise in developing prospects.Delivers large & complex, costed proposals taking into consideration client maturity, market conditions, risk factors, schedule and delivery methodology.Ensures scope and risk are accurately reported at a contractual level with appropriate mitigation strategies available.Possesses good presentation skills and is able to design intriguing presentations and artefacts Business Requirements Analysis and Design.Accountable for a region/client’s complete solution proposition.Lead Design Workshops and Business Requirements Definition and Creation through to sign off:Add value to client’s business through demonstration of solution business benefits and design recommendations throughout the sales and delivery Lifecycle.Recognise Client Business Benefit vs Implementation cost vs timeline as a driver in scope discussions and presents options accordingly.Understand and apply delivery parameters, constraints in the design process including commercial and time constraints.Delivery SupportProvide ongoing support of solution design through all phases of the subsequent delivery. Assist with interpretation of solution design and makes corrective decisions where needed.Recognizes and articulates deviation from scope and identifies these as revenue generation opportunities.Provide deep insight into Delivery Lifecycle, including pain points, task management, key priorities and known issues for products.Provide support for deliveries through the lifecycle and manage knowledge transfer in doing so.Produce and deliver meaningful content to capability teams through professional service communities.Change Management & ComplianceEnsure maintenance and development of the delivery team’s collateral e.g. source code, development environments, software, documentation, toolsComply with published standards for coding, testing and documentation and other policies and procedures as laid down under the Delivery FrameworkAdministration / Project Tracking / Project ManagementRegular reports on own work and projects to line manager/project manager. Project status reports to clients and internal management.Timely submission of timesheets, leave forms and other administrative componentsPersonal DevelopmentDesign and progression through own Personal Development Plan following the identification, with line management, of technical or interpersonal skills development needs or lack of product/client/business knowledge. Team WorkDemonstrate commitment to achievement of team objectives by identifying and acting on ad-hoc and on-going opportunities for providing support to other team members.Provide coaching and cross training to other staff in order to facilitate an even spread of knowledge and aid in succession planningMentor and educate other members of the team QualificationsThe successful candidate will have up to 8 or more years’ experiences preferably in Retail Banking or SME Credit Risk Management environment. Having Corporate Banking credit risk management practices will be an added advantage They will possess solid knowledge of industry experiences or processes, to enable them to converse with clients in their own terms. We are looking for someone who:Can form effective relationships with client’s department within our client organisationsHas extensive experience in banking/fintechCan identify and discuss business processes, business and credit strategies with the client in their own termsCan generate demand within client organisations; either through consultation activities, or identifying opportunities within project deliveriesHas consultative or advisory experience to internal or external customers in:Identifying business needs, translating into functional needs, and constantly seeking opportunities for improvement,Leading/supporting the project team to ensure business processes and software solutions achieve a quality outcomeLead or support clients in transforming their business practices Essential Duties and Responsibilities ConsultingIdentify business requirement and targeted outcomes for any given project.Own the quality of the design within a project context i.e. ensure that the processes and solutions designed achieve the business objectives and goals for client organisationsBusiness process Optimisation and business strategy of the industry best practices should be occurring.Constantly define and refine the approaches to delivering best consulting servicesLeverage relationships to take accountability to identify, escalate and resolve issues and drive continuous improvement in portfolio performance with seniorsContinuously improve on the implementation of industry best practice in business process and solution design Knowledge, Experience and QualificationsExperience8+ years of experience in either or all of:A Professional Consulting Services environment delivering client facing projectsA Professional Consulting Services environment leading pre-sales engagementsA retail or corporate banking environment covering risk management, product management, or CRMHas solid experience leading or participating in pre-sales engagements for banking clientsHas led business process and/or software design for software delivery projects to banking clients.Has extensive knowledge and is articulate in retail banking conceptsSome Risk or Business analytics background QualificationsBachelor’s Degree or Post Graduate qualification (preferred)Has an extensive network of both senior and junior contacts in all core product sets that can be utilized accordinglyDemonstrates ownership qualities to resolve both operational & project challengesGood knowledge of systems, processes, applications and technology supporting applicable Experian DA solutions and how they support/impact solutions.Studious problem analysis skillsKnowledge of selected Experian solutions capabilities, design, functionality and benefits; significant experience of the DA delivery lifecycleStrong oral and written communication skills, strong presentation capabilities, advanced problem solving and analytical skills, fluency in spoken and written English.Ability to travel Technical Skills:Cloud A strong understanding of how solutions work on AWS.Tools & Language: XML, Batch language scripting, SoapUI, Groovy/JavaDatabases: Oracle, Postgres, MongoDB",0,SELANGOR,SELANGOR
"Senior / Software Engineer (C#, .net ) (Ipoh)",Exact Asia Development Centre Sdn Bhd,"IPOH, PERAK",Engineering - Software (Information & Communication Technology),Full time,,"This = the job you are looking for:You take ownership of the quality of all assigned software targets and codes.Job is fully base at IPOH.You design, code and test business software applications and propose architectural decisions within a SCRUM team.You troubleshoot and solve software bugs, but also inspire your colleagues and share your knowledge.This = what you bring:Degree in Computer Science, Information Technology or equivalent.At least 3 years of experience in software development.Experience on web development using C# or VB.Net, .NET or .NET framework, JavaScript (native and/or frameworks), MS SQL Server.Knowledge of design patterns such as ASP.NET MVC, unit testing, and performing code reviews.Experience in team collaboration on Azure DevOps will be an added advantage. This = what you get:We work hard and play hard. We believe in the need to balance personal and professional commitments. Our new office will be located at Ipoh,expanding our team to other states. Those SE who are interested to be base at Ipoh, Do apply!Sign-on bonus for early applicants.Insurance coverage.Travel allowance.Flexi benefits such as health screening, dental, and optical.hybrid working.maintain a good work-life balance with flexible working hours.enroll in physical/virtual training at your pace for continuous learning and career growth.unlimited access to LinkedIn Learning and company learning platform.exposure to AGILE Software Development Methodology -SCRUM.expose in software engineering that uses modern best practices.",0,PERAK,PERAK
Technical Consultant (Work at Damansara Utama) #65840,Anradus Pte. Ltd.,"PETALING JAYA, SELANGOR",Consultants (Information & Communication Technology),Full time,6000-9000,"Technical Consultant (Work at Damansara Utama) #65840 Job DescriptionIndustry/ Organization Type: Cyber Security/IAM Position Title: Technical Consultant / Pre-Sales ConsultantWorking Location: Damansara UtamaWorking Hours: Mon – Fri (9 am – 6 pm)Salary: Basic + Flexi Benefits + Variable BonusDuration: Permanent Key ResponsibilitiesCollaborate with client organizations to design tailored solutions that meet their unique requirements.Conduct product and solution demonstrations, as well as presentations and proof-of-concept exercises.Be actively involved in supporting pre-sales activities, including participation in seminars and trade shows.Develop and deliver responses to technical inquiries from clients and prospects, including Requests for Information (RFIs) and Requests for Proposals (RFPs).Coordinate, plan, and execute activities with end customers, system integrators, and third-party vendors.Facilitate, develop, and enable partners in solution selling and implementation.Establish and maintain effective communication with our R&D center for product and project-specific implementations.Participate in post-sales activities, including system implementation and project management when required. APPLY NOW!!!University graduate with a major in Computer Science, Engineering, or relevant disciplinesProficiency in application development environments and languages such as Java, JavaScript and Objective-CFamiliarity with JAVA application servers, including Oracle WebLogic and Apache TomcatKnowledge of API communication methods, including REST, SOAP, XML, etcProficiency in RDBMS administration and operation (e.g., Oracle, Microsoft SQL Server, MySQL, etc.)Experience with both Windows and Unix/Linux operating systems, including command-line tools, scripting, and basic system administrationFamiliarity with directories such as Active Directory, ADFS, LDAP, and Single-Sign-On technologies is a plusExperience in mobile application development is advantageousHands-on experience in successfully managing large and complex IT projects, particularly in the banking or public sector domain, is a plusWillingness to travel as required Kindly apply through ANY of the following methods:Submit your application by clicking the APPLY button;Email your resume to Job(at)anradus.com.sg. Kindly indicate #65840 on the email subject. Anradus Application Policy: We value each application and ensure every resume is reviewed. Our process is efficient, typically concluding within 3 working days. If you do not receive communication from us within this timeframe, it's likely that your application has not been shortlisted by our client. In such cases, we recommend continuing your job search to maximize your opportunities. #SCR-anradus-team Anradus Pte Ltd | EA License No. 20C0161Angel Lim | EA Reg No.: R1769781",7500,SELANGOR,SELANGOR
Sr Staff Solution Architect (MES & Automation) - Based in MNC Penang,AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD,"BAYAN LEPAS, PENANG",Architects (Information & Communication Technology),Full time,,"Job Requirement :Lead Requirement gathering, fit gap analysis and solution blueprintWork with customer stakeholders on solution design based on Siemens OPCENTER platformArticulate and communicate complex business process, conflict resolution and buy in on solutionWork with across teams to build integration requirements with MESAbility to do coding on OPCENTER designer, MIO and Portal studioTranslate the solution requirement and work with development team to buildEnsure the quality of deliverable by working with assurance teamQualifications:Graduate of bachelor’s degree in Computer Engineering or other Engineering related field.Master’s Degree is a plus.Minimum of 10 years of work experience in the electronics or semiconductor industry in providing solutions for implementation of Camstar / Siemens Opcenter.Must have experience working on major multi-man-month projects involving cross-functional teams.Complete life cycle implementation of Manufacturing Execution Systems (MES) product (e.g., Siemens Opcenter or similar platforms)Experience in leading the requirements definition and MES implementation of the Factory ModelExtensive Domain experience in the semiconductor industry with the ability to map business requirements with manufacturing IT applications.Hands-on expertise with the 3rd Party interfaces from the MES application to ERP, LIMS, Equipment, HMI etc.",0,PENANG,PENANG
Senior Software Engineer (PHP Developer),Alliance Medinet (M) Sdn Bhd,SELANGOR,Developers/Programmers (Information & Communication Technology),Full time,8000-12000,"This role in our technology squad is embedded in a high caliber, cross functional team that develops and executes our exciting technology strategy to deliver better outcomes for our business and customer.As a senior software engineer, you will be working with an agile and innovative team and build on your technical expertise with a myriad of technologies, projects and platforms to deliver our business priorities and conquer technical challenges.Responsibilities:Support the delivery of projects in all aspects of software development life cycle including system analysis, design, development, quality assurance, UAT, maintenance and ongoing supportDevelop pragmatic and fit for purpose solutions of high technical qualityWork with stakeholders to define and clarify functional requirements and scope to deliver robust cost-effective solutionsMaintain software design, engineering processes and quality standardsIdentifying and addressing bottlenecks in the application or broader infrastructureAssist with ad-hoc duties assigned by managerRequirements:Degree in Computer Science / Information Technology or related fieldsAt least 2 years’ experience in full stack PHP developmentKnowledge of PHP web frameworks. e.g. Lavarel and CodelgniterKnowledge of front-end technologies including CSS3, JavaScript, and HTML5.Understanding of object-oriented PHP programming.Proficient with code versioning tools including Git.Familiarity with MySQL databases.Highly collaborative team player, detail-oriented and passionate with technologyAbility to thrive in fast-paced, exciting environmentWork location based in Petaling Jaya, KLWe regret that shortlisted applicants will be notified for a virtual interview.For more information about company, please visit https://www.alliancehealthcare.com.sg/",10000,SELANGOR,SELANGOR
ERP Consultant,KDS CONSULTING SDN BHD,"PUCHONG, SELANGOR",Business/Systems Analysts (Information & Communication Technology),Full time,,"Responsibilities:Analyze processes and provide solutions based on Sage 300 Cloud & SAP Business One for SAP HANALearn the process of validating proposed solutions with the team and prepare documentationMap business processes using best practices in ERP solutionsPrepare to serve and think out of the box during problem solvingPerform task based on proposed methodologyDeliver task and document all work in accordance to defined standard and processes.Requirements:Bachelor's Degree/Professional Degree in Computer Science/Information Technology, Finance/Accountancy/Banking or equivalent.Knowledge in business processes such as financial management & supply chain managementWorking experience in the related field will be an added advantageInterested in the area of using IT in business processes such as AI, ML, IoT & etcTeam player with good interpersonal skills and positive characteristic.",0,SELANGOR,SELANGOR
Service Desk Agent (Native Korean),Fujitsu Systems Global Solutions Management Sdn. Bhd.,KUALA LUMPUR,Help Desk & IT Support (Information & Communication Technology),Contract/Temp,3000-4500,"Key Requirements:Works under supervision, supporting standard technical queries related to a single product/small set of products (e.g. Microsoft products, operating system, basic networking, PCs).Develops an understanding of customer’s environment and service delivery requirements to enable the delivery of a first-class service.Documents actions taken in resolving routine customer enquiries ensuring established processes/systems are followed.Takes ownership for listening to and understanding basic customer problems asking relevant questions to resolve typically known problems within required timescales. Knows when problems are ‘beyond them’ and escalates so they can be resolved.Escalates issues as necessary to deliver required service level and meet or exceed customer expectation/SLAs. Monitors performance through statistical reporting and analysis.Acts as a team player and is viewed by colleagues as a helpful and effective member of the team.Takes ownership of own development and has a development plan in place through learning activities. Skills & qualifications:Degree in IT/Computer Science/Engineering/Business or equivalent.Candidates should possess basic IT Knowledge, with at least 1 year of experience working in a Service Desk Environment. Entry-level candidates are encouraged to apply.Ability to speak & write in the Korean language to cater to support for Korean region. A native Korean speaker is a PLUS.Analytical & problem-solving skills.Positive attitude, goal-oriented personality.Good communication skills.Willing to work on shift or flexible to changes in work time (Shift rotation among team members)Applicable for Korean nationality living in Malaysia.Annual renewable contract & permanent conversion based on performance.",3750,KUALA LUMPUR,KUALA LUMPUR
Senior Backend Developer,Evodream Solution Sdn Bhd,KUALA LUMPUR,Engineering - Software (Information & Communication Technology),Full time,7000-10000,"Job DescriptionWelcome Aboard if you're:Passionate in IT CodingExperienced or interested in using Laravel Framework and VueJsLooking forward to cooperate with an open-minded teamThings You Would Be Involved In This Position:Develop the Back End Application API integrated with the front-end elements with various integration patternIntegrate the Back End Application with various internal/external systemBuilding reusable code and libraries for future useOptimization of the application for maximum speed and scalabilityImplementation of security and data protectionDesign and implementation of data storage solutionsCreate database schemas that represent and support business processesImplement automated testing platforms and unit testsHandle ad hoc projects assigned by managementTechnologies we use:Frontend & Backend: PHP, Laravel, OOP, VueJsDatabase: MySQLBonus: Good understanding of Cloud environment, unit testing and validationSoftware Application: Atlassian Jira, Confluence & Bitbucket""Gather.Town"": Our web conference software to improve our work performance while maintaining interactions between the team during WFH situationWhat Will You Need:BSc degree in Computer Science, Information System, or a related fieldExperience in Web Server Set up (e.g., Apache HTTPS Server / Ngnix Server Setup) & management of hosting environment, including database administration and scaling an application to support load changesExperience in data migration, transformation, scripting, setup and administration of backups & integration of multiple data sources and databases into one systemExperience in implementing automated testing platforms and unit testsProficient knowledge of any back-end programming language. Php Laravel, Java, Node.js and Python is preferredAdvanced knowledge of DevOps (e.g., Continuous Deployment, Testing Automation, Infrastructure as Code)Advanced knowledge with infrastructure set up and deployment on cloud platform such as AWS, Google Cloud, or AzureGood knowledge on Database System including NoSQL (e.g., Redis / MongoDB) and RDBMS (e.g., Oracle / MySQL)Good knowledge and command in SQL and UNIX/Linux Operation(e.g., Linux Command)Familiar with various web integration pattern (e.g.,  RESTful API/Web socket)Understanding accessibility and security compliance, user authentication and authorization between multiple systems, servers, and environmentsUnderstanding differences between multiple delivery platforms such as mobile vs desktop, and optimizing output to match the specific platformCreating database schemas that represent and support business processesProficient understanding of code versioning tools, such as Git and OWASP security principles and “session management” in a distributed server environmentPersonality Requirements:Excellent Interpersonal and communication skillsSelf-motivated, able to handle pressureHigh self disciplinary and independent thinkingResponsible in workOpen-minded to new solutions, forward-thinking, and strong adaptabilityAble to provide useful solutions/suggestions during brain-stormingWork hard, play hard!Perks of Joining Us:Remote WorkingProject IncentiveTeam Bonding ActivitiesPositive Work Environment & TeammatesPractices Autonomy Work ModeShoutout:If you are currently working as a software developer and is willing to work in KL/Selangor areas, you are highly encouraged to apply for this position. Welcome Aboard! ",8500,KUALA LUMPUR,KUALA LUMPUR
Senior Scrum Master / Release Train Engineer,Infineon Technologies (Malaysia) Sdn Bhd,MELAKA,Programme & Project Management (Information & Communication Technology),Full time,,"Your sprint to success begins at Infineon Technologies!We are seeking a talented and experienced Senior Scrum/Agile Master / Release Train Engineer (RTE) to join our organization and help us become more efficient and effective in delivering high-quality products and maximize value through iterative and incremental development. The ideal candidate will have a strong understanding of Agile principles and methodologies, profound experience leading multiple Agile teams, and the ability to moderate Agile ceremonies for globally distributed teams.Apply now and let's shape the future of the semiconductor industry together! In your new role you will: Lead the Scrum process and facilitate Scrum ceremonies on Agile Release Train (ART) level by facilitating the PI Planning and supporting the PI execution.Coach the ART and mentor other Scrum Masters and team members on Agile principles and methodologies, including Scrum, Kanban and others.Help the ART to identify and remove any impediments or roadblocks that may be hindering their progress.Facilitate communication and collaboration within the ART and with stakeholders.Work with the Product Management and System Architect to prioritize and manage the ART backlog, ensuring that it aligns with the overall product vision and strategy.Establish ART flow measures and continuously monitor and improve the flow of value.Help to identify bottlenecks and areas for process improvement, lead initiatives to implement these improvements.Foster a culture of relentless improvement and learning within the ART and organization. You are best equipped for this task if you have: Bachelor degree in Software Engineering, Computer Science or Information Technology.Minimum 3 years of experience as Release Train Engineer, Scrum/Agile Master or similar role.Strong understanding and deep knowledge of Agile principles and methodologies, including Scrum, Kanban, and others.Excellent communication and facilitation skills, with the ability to diplomatically resolve conflicts.Ability to coach and mentor other Scrum Masters and team members on Agile principles and methodologies.Strong analytical and problem-solving skills, with the ability to identify and remove impediments.Experience working with cross-functional teams, passion and enthusiasm.Certified Scrum Master (CSM) or equivalent certification preferred.Bachelor's degree in Computer Science, Information Technology, or equivalent.Professional level of written and spoken English If you are passionate about Agile methodologies and want to join a dynamic and innovative team, we encourage you to apply for this exciting opportunity.",0,MELAKA,MELAKA
STEP Developer Senior Engineer,OSRAM Opto Semiconductors (Malaysia) Sdn Bhd,"BAYAN LEPAS, PENANG",Developers/Programmers (Information & Communication Technology),Full time,,"Company description:  Bringing intelligence to light and passion to innovationThe ams OSRAM Group is a global leader in optical solutions. By adding intelligence to light and passion to innovation, we enrich peoples' lives. This is what we mean by Sensing is Life. Our around 26,000 employees worldwide focus on innovation across sensing, illumination and visualization to make journeys safer, medical diagnoses more accurate and daily moments in communication a richer experience.Your new responsibilitiesJob description: Configure and manage all aspects of the STEP environment, including but not limited; data modeling (object, attributes, entities, references, etc.), workflows, business rules, integration end-points (outbound / inbound), APIs (gateway config.), Indesign, etc. Design, develop, test, and deploy solutions to support application's roadmap. Develop junior developers in STEP through continuous training sessions. Analyze and understand business requirements to translate them into technical specifications for development. Document requirements, functional specifications, and user guides in a clear and concise manner for future reference and knowledge sharing. Stay up-to-date with the latest advancements in STEP technology by actively participating in training programs, attending industry events, and exploring new features and functionalities. Responsible for upgrading the STEP platform on regular basis. Lead technical workstreams in strategic projects related to Master Data Management. Profile description: Bachelor's degree in Engineering, IT Engineering, Computer Science or related. Experience in STEP implementation and/or migration projects, STEP Development, Scrum & DevOps. Application development (JavaScript, XML, HTML, Python), Database management (SQL / NoSQL), Application Integration (APIs), Azure Development Services. Problem-Solving and Analytical Thinking, Identify skill gaps. Potential to steer junior developers. International experience, working in a multi-cultural environment. Good written and spoken English is a must. We offer: Global Collaboration Opportunities on New Exciting Projects Flexible and Hybrid Working Mode Diversified, Rewarding & Supportive Workplace ",0,PENANG,PENANG
Full Stack Developer (ASP.net C#),MICROLIVE VISION TECHNOLOGY SDN. BHD.,KUALA LUMPUR,Developers/Programmers (Information & Communication Technology),Full time,4500-6500,"Summary of position: We are looking for a Software Developer to build and implement functional programs. You will work with other Developers and Product Managers throughout the software development life cycle. In this role, you should be a team player with a keen eye for detail and problem-solving skills. Duties and Responsibilities:Involved in entire SDLC process - Design, development, testing, deployment, and maintenance.Building web services and APIs to support the web application or for third-party.Deliver high-quality code while working and communicating in a small, agile environment.Demonstrate strong commitment and dedication to take up challenges and solving important problems beyond normal working hours as and when required.Optimization of the application for extensibility and scalability.Provide maintenance support to customers (internal and/or external) by investigating and rectifying reported systems shortcomings. Qualifications: Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent.Required language(s): English, Mandarin (Due to the needs of client support)1 or more year(s) of working experience in the related field is strong advantage for this job position.Mandatory Proficiency Language: C# , Nodejs, HTML / CSS / Javascript, SQLAdditional (Framework): NET MVC (.NET CORE 6 and above), .NET Entity Framework, Web services Integration REST API, UI Framework/Library (Boostrap, Nodejs, Jquery)Mandatory DB:MS SQLAdditional DB:Postgresql Knowledge in the following is an advantage:Frontend frameworks such as VueJS or any equivalentCloud computing services by Azure, experience in AWS is a plusA collaborative team player who is open to exploring new technologiesWillingness to adapt to changes in fast-growing environments with multiple and new technologiesStrong problem-solving skillExperience in agile software development",5500,KUALA LUMPUR,KUALA LUMPUR
Sr Azure data BI developer,RENESAS ELECTRONICS (PENANG) SDN BHD (Penang),"PENANG ISLAND, PENANG",Developers/Programmers (Information & Communication Technology),Full time,,"Title: Senior Global Reporting Solutions Developer - BI, Azure, and Data Integration Expert Requisition ID: 52460 Department: Location: Bayan Lepas, MY Job Function: Business Systems Analyst Renesas Electronics (Penang) Sdn. Bhd Phase 3 , Bayan Lepas, Free Industrial Zone 11900 Penang Malaysia Job Highlights: • Attractive Remuneration: Bonus + Profit Sharing + RSU • Hybrid Work / Flexible working hour & hybrid work mode • Fast growing company with positive working environment Job Summary: Be part of a fun and exciting global team that focuses on using cutting edge technologies to develop innovative solutions to support business needs in global reporting Work with the Business Process Owners to analyze the reporting needs and translate these into a Power BI visual & analytical solution.  Your New Role: • Identify and analyze system integration problems, formulate, and implement corrective and preventive plans • Design and implement systems architecture with the most cost-effective and efficient hardware and software that can satisfy project requirements • Answer inquiries from BI Team members and business users as necessary • To understand and work with all kinds of data, including historical data stored in data warehouses as well as new data gathered from different sources  Required Skills & Knowledge: • Degree in Computer Science / Information Technology or equivalent with BI and Cloud development experience gained in sizable organization • Holder of professional qualification(s) such as Azure certification preferred • Azure Data Bricks • Python • ETL • Spark Notebook • Machine learning/AI would be a plus  This position is to be based in Bayan Lepas, Penang. We apply hybrid working flexibilities. ",0,PENANG,PENANG
